Folder	Time Domain	HPS	FFT	Sample	Midi	HN Offset	Expected	TD	HPS	FFT	Praat	Average	Stdev	Use	Actual MIDI	+Cents	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=98.537173	MIDIPitchFraction=2.579259	MIDIPitchFraction=99.008803	MIDIKeyNumber=54	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	056-g#.wav	056-g#.wav	056-g#.wav	MIDIPitchFraction=98.537173	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 206.83 Hz	detected pitch = 207.17 Hz	detected pitch = 206.98 Hz	056-g#.wav	56.00	0.00	207.65	206.83	207.17	206.98		206.993333333333	0.17	206.993333333333	55.9449693554165	5.50306445835105	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=55	MIDIKeyNumber=55	MIDIKeyNumber=55	Detected = 206.83 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=93.117409	MIDIPitchFraction=96.011936	MIDIPitchFraction=94.410099	MIDIKeyNumber=55	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	057-a.wav	057-a.wav	057-a.wav	MIDIPitchFraction=93.117409	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 219.02 Hz	detected pitch = 109.85 Hz	detected pitch = 219.03 Hz	057-a.wav	57.00	0.00	220.00	219.02	219.70	219.03		219.25	0.39	219.25	56.9408798270409	5.91201729591191	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=56	MIDIKeyNumber=44	MIDIKeyNumber=56	Detected = 219.02 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=92.261482	MIDIPitchFraction=97.563502	MIDIPitchFraction=92.318811	MIDIKeyNumber=56	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	058-a#.wav	058-a#.wav	058-a#.wav	MIDIPitchFraction=92.261482	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 233.11 Hz	detected pitch = 232.91 Hz	detected pitch = 233.07 Hz	058-a#.wav	58.00	0.00	233.08	233.11	232.91	233.07		233.03	0.11	233.03	57.9961460867818	0.385391321820805	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=58	MIDIKeyNumber=57	MIDIKeyNumber=57	Detected = 233.11 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=0.198752	MIDIPitchFraction=98.734593	MIDIPitchFraction=99.881990	MIDIKeyNumber=58	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	059-b.wav	059-b.wav	059-b.wav	MIDIPitchFraction=0.198752	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 245.25 Hz	detected pitch = 122.31 Hz	detected pitch = 245.26 Hz	059-b.wav	59.00	0.00	246.94	245.25	244.62	245.26		245.043333333333	0.37	245.043333333333	58.866400481591	13.3599518408985	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=58	MIDIKeyNumber=46	MIDIKeyNumber=58	Detected = 245.25 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=88.068205	MIDIPitchFraction=83.688294	MIDIPitchFraction=88.193244	MIDIKeyNumber=58	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	060-c.wav	060-c.wav	060-c.wav	MIDIPitchFraction=88.068205	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 259.84 Hz	detected pitch = 260.01 Hz	detected pitch = 259.98 Hz	060-c.wav	60.00	0.00	261.63	259.84	260.01	259.98		259.943333333333	0.09	259.943333333333	59.8883235803888	11.1676419611165	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=59	MIDIKeyNumber=59	MIDIKeyNumber=59	Detected = 259.84 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=88.111547	MIDIPitchFraction=89.274732	MIDIPitchFraction=89.096978	MIDIKeyNumber=59	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	061-c#.wav	061-c#.wav	061-c#.wav	MIDIPitchFraction=88.111547	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
